molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL2393175,Cc1ccc(CNC(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)cn1,1400.0,intermediate
CHEMBL2393174,Cc1ccc(CNC(=O)Nc2ccc(S(=O)(=O)c3ccccc3)cc2)cn1,59.0,active
CHEMBL2393193,Cc1ncccc1CNC(=O)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1,2000.0,intermediate
CHEMBL2393192,Cc1ncccc1CNC(=O)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,146.0,active
CHEMBL2391567,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1,28.0,active
CHEMBL2391572,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,3.0,active
CHEMBL2420634,O=C(NCc1ccc(S(=O)(=O)c2ccc(N3CCOCC3)nc2)cc1)c1cnc2nccn2c1,1.0,active
CHEMBL2420633,O=C(NCc1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1)c1cnc2nccn2c1,1.0,active
CHEMBL2420632,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1cnc2nccn2c1,2.0,active
CHEMBL2420631,O=C(NCc1ccc(S(=O)(=O)c2ccc(N3CCOCC3)nc2)cc1)c1ccc2nccn2c1,6.0,active
CHEMBL2420630,O=C(NCc1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1)c1ccc2nccn2c1,8.0,active
CHEMBL2420629,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1ccc2nccn2c1,5.0,active
CHEMBL2420628,O=C(NCc1ccc(S(=O)(=O)c2ccc(N3CCOCC3)nc2)cc1)c1cc2ccncc2s1,3.0,active
CHEMBL2420627,O=C(NCc1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1)c1cc2ccncc2s1,3.0,active
CHEMBL2420626,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1cc2ccncc2s1,3.0,active
CHEMBL2420625,O=C(NCc1ccc(S(=O)(=O)c2ccc(N3CCOCC3)nc2)cc1)c1cc2ccncc2o1,3.0,active
CHEMBL2420624,O=C(NCc1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1)c1cc2ccncc2o1,5.0,active
